Name,CHT,KOR
COP_Desc_9,"直到下次抵達中轉站，非首領怪物攻擊力提高100%
<color=#89E7A0>獎勵：下次抵達中轉站時獲得2本<color=#E57E00>秘笈</color>。</color>",다음 경유지에 도달할 때까지 우두머리가 아닌 적의 공격력이 100% 증가합니다. <color=#89E7A0>보상: 다음 경유지 도착 시 <color=#E57E00>종파 비급</color> 2권을 획득합니다.</color>
COP_Desc_10,"直到下次抵達中轉站，非首領怪物攻擊力提高20%
<color=#89E7A0>獎勵：下次抵達中轉站時獲得1本<color=#E57E00>秘笈</color>。</color>",다음 경유지에 도달할 때까지 우두머리가 아닌 적의 공격력이 20% 증가합니다. <color=#89E7A0>보상: 다음 경유지 도착 시 <color=#E57E00>종파 비급</color> 1권을 획득합니다.</color>
COP_Desc_11,"直到下次抵達中轉站，非首領怪物生命提高40%
<color=#89E7A0>獎勵：下次抵達中轉站時獲得大量藍魂。</color>",다음 경유지에 도달할 때까지 우두머리가 아닌 적의 생명력이 40% 증가합니다. <color=#89E7A0>보상: 다음 경유지 도착 시 푸른 혼을 대략 획득합니다.</color>
COP_Desc_12,"直到下次抵達中轉站，非首領怪物攻擊力提高50%
<color=#89E7A0>獎勵：下次抵達中轉站時隨機獲得一個<color=#E57E00>傳說聖物</color>。</color>",다음 경유지에 도달할 때까지 우두머리가 아닌 적의 공격력이 50% 증가합니다. <color=#89E7A0>보상: 다음 경유지 도착 시 무작위 <color=#E57E00>전설 등급 성물</color> 1개를 획득합니다.</color>
COP_Desc_13,"直到下次抵達中轉站，非首領怪物生命提高20%，攻擊力提高20%
<color=#89E7A0>獎勵：下次抵達中轉站時，本局攻擊力提升15%。</color>",다음 경유지에 도달할 때까지 우두머리가 아닌 적의 생명력과 공격력이 20% 증가합니다. <color=#89E7A0>보상: 다음 경유지 도착 시 이번 게임 동안 내 공격력이 15% 증가합니다.</color>
COP_Desc_14,"直到下次抵達中轉站，非首領怪物攻擊力提高20%，移動速度提高20%
<color=#89E7A0>獎勵：下次抵達中轉站時，本局屬性傷害提高15%。</color>",다음 경유지에 도달할 때까지 우두머리가 아닌 적의 공격력과 이동 속도가 20% 증가합니다. <color=#89E7A0>보상: 다음 경유지 도착 시 이번 게임 동안 내가 주는 속성 피해가 15% 증가합니다.</color>
COP_Desc_15,"直到下次抵達中轉站，敵人血量增加30%
<color=#89E7A0>獎勵：下次抵達中轉站時，本局防禦力提升10%。</color>",다음 경유지에 도달할 때까지 적의 생명력이 30% 증가합니다. <color=#89E7A0>보상: 다음 경유지 도착 시 이번 게임 동안 내 방어력이 10% 증가합니다.</color>
COP_Desc_16,"直到下次抵達中轉站，敵人血量與攻擊力提升30%
<color=#89E7A0>獎勵：下次抵達中轉站時，本局每次攻擊附帶30%攻擊力的<color=#E35428>火焰傷害</color>。</color>",다음 경유지에 도달할 때까지 적의 생명력과 공격력이 30% 증가합니다. <color=#89E7A0>보상: 다음 경유지 도착 시 이번 게임 동안 내 모든 공격에 공격력의 30%에 해당하는 <color=#E35428>화염 피해</color>가 추가됩니다.</color>
COP_Desc_17,"直到下次抵達中轉站，敵人血量與攻擊力提升30%
<color=#89E7A0>獎勵：下次抵達中轉站時，本局每次攻擊附帶30%攻擊力的<color=#73D7F1>冰霜傷害</color>。</color>",다음 경유지에 도달할 때까지 적의 생명력과 공격력이 30% 증가합니다. <color=#89E7A0>보상: 다음 경유지 도착 시 이번 게임 동안 내 모든 공격에 공격력의 30%에 해당하는 <color=#73D7F1>빙결 피해</color>가 추가됩니다.</color>
COP_Desc_18,"直到下次抵達中轉站，敵人血量與攻擊力提升30%
<color=#89E7A0>獎勵：下次抵達中轉站時，本局每次攻擊附帶30%攻擊力的<color=#F3ED56>閃電傷害</color>。</color>",다음 경유지에 도달할 때까지 적의 생명력과 공격력이 30% 증가합니다. <color=#89E7A0>보상: 다음 경유지 도착 시 이번 게임 동안 내 모든 공격에 공격력의 30%에 해당하는 <color=#F3ED56>전격 피해</color>가 추가됩니다.</color>
PowerUp_Title,<color=#66BAD2>強化</color>,<color=#66BAD2>강화</color>
Challenge_Title,<color=#AB28FF>挑戰</color>,<color=#AB28FF>도전</color>
Trial_Award,"獎勵:
通關遊戲後獲得紅魂*{0}
本局藍魂掉落量提高{1}%",보상: 게임 클리어 시 붉은 혼 ×{0} 획득 현재 게임 내 푸른 혼 획득량 {1}% 증가
Trial_Title,<color=#CB484B>試煉・</color>,<color=#CB484B>시련・</color>
Suit_Name_1,"<color=#CB484B><size=31>鋸齒牙刃</size></color>
包含以下物品：
<color=#CB484B>絕世・牙刃</color>*1
<color=#E57E00>傳說・鋒銳之牙</color>*1
<color=#E57E00>傳說・變異殘肢</color>*1",<color=#CB484B><size=31>톱니 송곳니</size></color> 포함 물품: <color=#CB484B>신화・송곳니</color> ×1 <color=#E57E00>전설 날카로운 송곳니</color> ×1 <color=#E57E00>전설 변이 수족</color> ×1
Suit_Name_2,"<color=#CB484B><size=31>飛刃空明</size></color>
包含以下物品：
<color=#CB484B>絕世・空明</color>*1
<color=#E57E00>傳說・凝氣草</color>*1
<color=#E57E00>傳說・狂暴之血</color>*1",<color=#CB484B><size=31>망각검</size></color> 포함 물품: <color=#CB484B>신화・망각</color> ×1 <color=#E57E00>전설 기통초</color> ×1 <color=#E57E00>전설 광기혈</color> ×1
Suit_Name_3,"<color=#CB484B><size=31>劇毒青蛇</size></color>
包含以下物品：
<color=#CB484B>絕世・青蛇</color>*1
<color=#E57E00>傳說・屍變斷指</color>*1
<color=#E57E00>傳說・雄黃</color>*1",<color=#CB484B><size=31>맹독사</size></color> 포함 물품: <color=#CB484B>신화・청사</color> ×1 <color=#E57E00>전설 좀비 손가락</color> ×1 <color=#E57E00>전설 웅황</color> ×1
Suit_Name_4,"<color=#CB484B><size=31>冰封細劍</size></color>
包含以下物品：
<color=#CB484B>絕世・霜降</color>*1
<color=#E57E00>傳說・千年寒冰</color>*2",<color=#CB484B><size=31>빙결검</size></color> 포함 물품: <color=#CB484B>신화・상강</color> ×1 <color=#E57E00>전설 만년빙정</color> ×2
Suit_Name_5,"<color=#CB484B><size=31>花瓣飛舞</size></color>
包含以下物品：
<color=#CB484B>絕世・凋零</color>*1
<color=#E57E00>傳說・死之蓮</color>*1
<color=#E57E00>傳說・須臾之沙</color>*1",<color=#CB484B><size=31>비행 꽃잎</size></color> 포함 물품: <color=#CB484B>신화・순환</color> ×1 <color=#E57E00>전설 죽음의 연꽃</color> ×1 <color=#E57E00>전설 무상의 모래</color> ×1
Suit_Name_6,"<color=#CB484B><size=31>墨火炎刃</size></color>
包含以下物品：
<color=#CB484B>絕世・墨炎</color>*1
<color=#E57E00>傳說・墨火結晶</color>*1
<color=#E57E00>傳說・火硝石</color>*1",<color=#CB484B><size=31>묵화검</size></color> 포함 물품: <color=#CB484B>신화・묵염</color> ×1 <color=#E57E00>전설 묵화 수정</color> ×1 <color=#E57E00>전설 화초석</color> ×1
Suit_Name_7,"<color=#CB484B><size=31>醉酒爆燃</size></color>
包含以下物品：
<color=#CB484B>絕世・流火</color>*1
<color=#E57E00>傳說・醉仙釀</color>*1
<color=#E57E00>傳說・火硝石</color>*1",<color=#CB484B><size=31>만취 폭연</size></color> 포함 물품: <color=#CB484B>신화・유염</color> ×1 <color=#E57E00>전설 취선주</color> ×1 <color=#E57E00>전설 화초석</color> ×1
Suit_Name_8,"<color=#CB484B><size=31>破冰巨斧</size></color>
包含以下物品：
<color=#CB484B>絕世・碎冰</color>*1
<color=#E57E00>傳說・破冰石</color>*1
<color=#E57E00>傳說・千年寒冰</color>*1",<color=#CB484B><size=31>쇄빙부</size></color> 포함 물품: <color=#CB484B>신화・쇄빙</color> ×1 <color=#E57E00>전설 쇠빙석</color> ×1 <color=#E57E00>만년빙정</color> ×1
Suit_Name_9,"<color=#CB484B><size=31>繽紛雪蓮</size></color>
包含以下物品：
<color=#CB484B>絕世・雪蓮</color>*1
<color=#E57E00>傳說・死之蓮</color>*1
<color=#E57E00>傳說・北風花</color>*1",<color=#CB484B><size=31>백설련</size></color> 포함 물품: <color=#CB484B>신화・설련</color> ×1 <color=#E57E00>전설 죽음의 연꽃</color> ×1 <color=#E57E00>전설 북풍화</color> ×1
Suit_Name_10,"<color=#CB484B><size=31>天地道法</size></color>
包含以下物品：
<color=#CB484B>絕世・冥將</color>*1
<color=#E57E00>傳說・黃紙</color>*1
<color=#E57E00>傳說・踏風草</color>*1",<color=#CB484B><size=31>천지도법</size></color> 포함 물품: <color=#CB484B>신화・명계의 장수</color> ×1 <color=#E57E00>전설 부적</color> ×1 <color=#E57E00>전설 답풍초</color> ×1
Suit_Name_11,"<color=#CB484B><size=31>嗜血狼王</size></color>
包含以下物品：
<color=#CB484B>絕世・狼王</color>*1
<color=#E57E00>傳說・鋒銳之牙</color>*1
<color=#E57E00>傳說・狼王白鬃</color>*1",<color=#CB484B><size=31>탐혈 낭왕</size></color> 포함 물품: <color=#CB484B>신화・낭왕</color> ×1 <color=#E57E00>전설 날카로운 송곳니</color> ×1 <color=#E57E00>전설 백설 갈기</color> ×1
Suit_Name_12,"<color=#CB484B><size=31>在世華佗</size></color>
包含以下物品：
<color=#CB484B>絕世・華佗</color>*1
<color=#E57E00>傳說・血靈芝</color>*1
<color=#E57E00>傳說・跌打草</color>*1",<color=#CB484B><size=31>세기의 화타</size></color> 포함 물품: <color=#CB484B>신화・화타</color> ×1 <color=#E57E00>전설 핏빛 영지버섯</color> ×1 <color=#E57E00>전설 진정초</color> ×1
Suit_Name_13,"<color=#CB484B><size=31>太祖之怒</size></color>
包含以下物品：
<color=#CB484B>絕世・太祖</color>*1
<color=#E57E00>傳說・白虎之魂</color>*1
<color=#E57E00>傳說・憎恨之心</color>*1",<color=#CB484B><size=31>선조의 분노</size></color> 포함 물품: <color=#CB484B>신화・선조</color> ×1 <color=#E57E00>전설 백호의 혼</color> ×1 <color=#E57E00>전설 증오의 심장</color> ×1
Suit_Name_14,"<color=#CB484B><size=31>怒火中燒</size></color>
包含以下物品：
<color=#CB484B>絕世・暴怒</color>*1
<color=#E57E00>傳說・狂暴之血</color>*1
<color=#E57E00>傳說・須臾之沙</color>*1",<color=#CB484B><size=31>끓어오르는 분노</size></color> 포함 물품: <color=#CB484B>신화・격분</color> ×1 <color=#E57E00>전설 광기혈</color> ×1 <color=#E57E00>전설 무상의 모래</color> ×1
Suit_Name_15,"<color=#CB484B><size=31>山崩地裂</size></color>
包含以下物品：
<color=#CB484B>絕世・山崩</color>*1
<color=#E57E00>傳說・大骨</color>*1
<color=#E57E00>傳說・破冰石</color>*1",<color=#CB484B><size=31>파괴의 균열</size></color> 포함 물품: <color=#CB484B>신화・산사태</color> ×1 <color=#E57E00>전설 커다란 뼈</color> ×1 <color=#E57E00>전설 쇄빙석</color> ×1
Suit_Name_16,"<color=#CB484B><size=31>火焰龍卷</size></color>
包含以下物品：
<color=#CB484B>絕世・風火</color>*1
<color=#E57E00>傳說・火硝石</color>*1
<color=#E57E00>傳說・凝氣草</color>*1",<color=#CB484B><size=31>불꽃 회오리</size></color> 포함 물품: <color=#CB484B>신화・불폭풍</color> ×1 <color=#E57E00>전설 화초석</color> ×1 <color=#E57E00>전설 기통초</color> ×1
Suit_Name_17,"<color=#CB484B><size=31>血色冥妝</size></color>
包含以下物品：
<color=#CB484B>絕世・冥妝</color>*1
<color=#E57E00>傳說・鬼妃斷發</color>*1
<color=#E57E00>傳說・水銀</color>*1",<color=#CB484B><size=31>핏의 부조</size></color> 포함 물품: <color=#CB484B>신화・부조</color> ×1 <color=#E57E00>전설 망령의 가닥</color> ×1 <color=#E57E00>전설 수은</color> ×1
Suit_Name_18,"<color=#CB484B><size=31>大三元</size></color>
包含以下物品：
<color=#CB484B>絕世・三元</color>*1
<color=#E57E00>傳說・三色結晶</color>*1
<color=#E57E00>傳說・黃紙</color>*1",<color=#CB484B><size=31>대삼재</size></color> 포함 물품: <color=#CB484B>신화・삼재</color> ×1 <color=#E57E00>전설 삼색 수정</color> ×1 <color=#E57E00>전설 부적</color> ×1
Suit_Name_19,"<color=#CB484B><size=31>深冬極寒</size></color>
包含以下物品：
<color=#CB484B>絕世・深冬</color>*1
<color=#E57E00>傳說・北風花</color>*1
<color=#E57E00>傳說・千年寒冰</color>*1",<color=#CB484B><size=31>엄동설한</size></color> 포함 물품: <color=#CB484B>신화・동장군</color> ×1 <color=#E57E00>전설 북풍화</color> ×1 <color=#E57E00>전설 만년빙정</color> ×1
Suit_Name_20,"<color=#CB484B><size=31>雷霆之力</size></color>
包含以下物品：
<color=#CB484B>絕世・驚蟄</color>*1
<color=#E57E00>傳說・引雷鎖</color>*1
<color=#E57E00>傳說・響雷石</color>*1",<color=#CB484B><size=31>천둥의 힘</size></color> 포함 물품: <color=#CB484B>신화・초뢰</color> ×1 <color=#E57E00>전설 번개 족쇄</color> ×1 <color=#E57E00>전설 뇌석</color> ×1
Suit_Name_21,"<color=#CB484B><size=31>彈指之間</size></color>
包含以下物品：
<color=#CB484B>絕世・須臾</color>*1
<color=#E57E00>傳說・須臾之沙</color>*2",<color=#CB484B><size=31>찰나</size></color> 포함 물품: <color=#CB484B>신화・금세</color> ×1 <color=#E57E00>전설 무상의 모래</color> ×2
Suit_Name_22,"<color=#CB484B><size=48>永恆之焰
</size></color>
包含以下物品：
<color=#CB484B>絕世・永焰</color>*1
<color=#E57E00>傳說・飛硝箭</color>*1
<color=#E57E00>傳說・黑火藥</color>*1","<color=#CB484B><size=48>영항지염
</size></color>
포함 물품: 
<color=#CB484B>절세・영염</color>*1
<color=#E57E00>전설・비초전</color>*1
<color=#E57E00>전설・흑화약</color>*1"
Suit_Name_23,"<color=#CB484B><size=48>毒瀧惡霧
</size></color>
包含以下物品：
<color=#CB484B>絕世・毒淵</color>*1
<color=#E57E00>傳說・毒囊</color>*1
<color=#E57E00>傳說・水銀</color>*1","<color=#CB484B><size=48>독롱악무
</size></color>
포함 물품: 
<color=#CB484B>절세・독연</color>*1
<color=#E57E00>전설・독낭</color>*1
<color=#E57E00>전설・수은</color>*1"
Suit_Name_24,"<color=#CB484B><size=48>炮烙之刑
</size></color>
包含以下物品：
<color=#CB484B>絕世・斷肢</color>*1
<color=#E57E00>傳說・變異殘肢</color>*1
<color=#E57E00>傳說・鳳凰喙</color>*1","<color=#CB484B><size=48>포락지형
</size></color>
포함 물품: 
<color=#CB484B>절세・단지</color>*1
<color=#E57E00>전설・변이잔지</color>*1
<color=#E57E00>전설・봉황훼</color>*1"
Suit_Name_25,"<color=#CB484B><size=48>禦劍之術
</size></color>
包含以下物品：
<color=#CB484B>絕世・飛瀑</color>*1
<color=#E57E00>傳說・靈玉</color>*2","<color=#CB484B><size=48>어검지술
</size></color>
포함 물품: 
<color=#CB484B>절세・비폭</color>*1
<color=#E57E00>전설・영옥</color>*2"
Suit_Name_26,"<color=#CB484B><size=48>帶毒之刃
</size></color>
包含以下物品：
<color=#CB484B>絕世・碧水</color>*1
<color=#E57E00>傳說・水銀</color>*1
<color=#E57E00>傳說・鸊鵜膏</color>*1","<color=#CB484B><size=48>극독지인
</size></color>
포함 물품: 
<color=#CB484B>절세・벽수</color>*1
<color=#E57E00>전설・수은</color>*1
<color=#E57E00>전설・벽제고</color>*1"
Suit_Name_27,"<color=#CB484B><size=48>倒地不起
</size></color>
包含以下物品：
<color=#CB484B>絕世・芳華</color>*1
<color=#E57E00>傳說・生命之種</color>*1
<color=#E57E00>傳說・重山鎧</color>*1","<color=#CB484B><size=48>재기불능
</size></color>
포함 물품: 
<color=#CB484B>절세・방화</color>*1
<color=#E57E00>전설・생명지종</color>*1
<color=#E57E00>전설・중산개</color>*1"
Suit_Name_28,"<color=#CB484B><size=48>首尾呼應
</size></color>
包含以下物品：
<color=#CB484B>絕世・始末</color>*1
<color=#E57E00>傳說・玄詭刃</color>*1
<color=#E57E00>傳說・鵜鶘膏</color>*1","<color=#CB484B><size=48>수미호응
</size></color>
포함 물품: 
<color=#CB484B>절세・시말</color>*1
<color=#E57E00>전설・현궤인</color>*1
<color=#E57E00>전설・제호고</color>*1"
Suit_Name_29,"<color=#CB484B><size=48>仙風道骨
</size></color>
包含以下物品：
<color=#CB484B>絕世・藥仙</color>*1
<color=#E57E00>傳說・跌打草</color>*1
<color=#E57E00>傳說・狂將鎖</color>*1","<color=#CB484B><size=48>선풍도골
</size></color>
포함 물품: 
<color=#CB484B>절세・약선</color>*1
<color=#E57E00>전설・질타초</color>*1
<color=#E57E00>전설・광장쇄</color>*1"
Suit_Name_30,"<color=#CB484B><size=48>斬鋼截鐵
</size></color>
包含以下物品：
<color=#CB484B>絕世・斬鐵</color>*1
<color=#E57E00>傳說・青鋼</color>*1
<color=#E57E00>傳說・玄詭刃</color>*1","<color=#CB484B><size=48>참강절철
</size></color>
포함 물품: 
<color=#CB484B>절세・참철</color>*1
<color=#E57E00>전설・청강</color>*1
<color=#E57E00>전설・현궤인</color>*1"
Suit_Name_31,"<color=#CB484B><size=48>風馳電掣
</size></color>
包含以下物品：
<color=#CB484B>絕世・風起</color>*1
<color=#E57E00>傳說・猛虎之印</color>*1
<color=#E57E00>傳說・須臾之沙</color>*1","<color=#CB484B><size=48>풍치전철
</size></color>
포함 물품: 
<color=#CB484B>절세・풍기</color>*1
<color=#E57E00>전설・맹호지인</color>*1
<color=#E57E00>전설・수유지사</color>*1"
Suit_Name_32,"<color=#CB484B><size=48>青龍出海
</size></color>
包含以下物品：
<color=#CB484B>絕世・孟章</color>*1
<color=#E57E00>傳說・墮龍</color>*1
<color=#E57E00>傳說・青龍之魂</color>*1","<color=#CB484B><size=48>청룡출해
</size></color>
포함 물품: 
<color=#CB484B>절세・맹장</color>*1
<color=#E57E00>전설・타룡</color>*1
<color=#E57E00>전설・청룡지혼</color>*1"
Suit_Name_33,"<color=#CB484B><size=48>朱雀展翅
</size></color>
包含以下物品：
<color=#CB484B>絕世・陵光</color>*1
<color=#E57E00>傳說・墮龍</color>*1
<color=#E57E00>傳說・朱雀之魂</color>*1","<color=#CB484B><size=48>주작전시
</size></color>
포함 물품: 
<color=#CB484B>절세・능광</color>*1
<color=#E57E00>전설・타룡</color>*1
<color=#E57E00>전설・주작지혼</color>*1"
Suit_Name_34,"<color=#CB484B><size=48>白虎穿堂
</size></color>
包含以下物品：
<color=#CB484B>絕世・監兵</color>*1
<color=#E57E00>傳說・墮龍</color>*1
<color=#E57E00>傳說・白虎之魂</color>*1","<color=#CB484B><size=48>백호천당
</size></color>
포함 물품: 
<color=#CB484B>절세・감병</color>*1
<color=#E57E00>전설・타룡</color>*1
<color=#E57E00>전설・백호지혼</color>*1"
Suit_Name_35,"<color=#CB484B><size=48>玄武插尾
</size></color>
包含以下物品：
<color=#CB484B>絕世・執明</color>*1
<color=#E57E00>傳說・墮龍</color>*1
<color=#E57E00>傳說・玄武之魂</color>*1","<color=#CB484B><size=48>현무삽미
</size></color>
포함 물품: 
<color=#CB484B>절세・집명</color>*1
<color=#E57E00>전설・타룡</color>*1
<color=#E57E00>전설・현무지혼</color>*1"
Suit_Name_36,"<color=#CB484B><size=48>初始裝備
</size></color>
包含以下物品：
<color=#CB484B>絕世・鐵劍</color>*1
<color=#E57E00>傳說・疑無物</color>*2","<color=#CB484B><size=48>초기장비
</size></color>
포함 물품: 
<color=#CB484B>절세・철검</color>*1
<color=#E57E00>전설・의심스런 무언가</color>*2"
Suit_Name_37,"<color=#CB484B><size=48>棄惡從善
</size></color>
包含以下物品：
<color=#CB484B>絕世・同心</color>*1
<color=#E57E00>傳說・摯愛之心</color>*2","<color=#CB484B><size=48>기악종선
</size></color>
포함 물품: 
<color=#CB484B>절세・동심</color>*1
<color=#E57E00>전설・지애지심</color>*2"
Suit_Name_38,"<color=#CB484B><size=48>鹹魚之力
</size></color>
包含以下物品：
<color=#CB484B>絕世・躺平</color>*1
<color=#E57E00>傳說・母神舊印</color>*1
<color=#E57E00>傳說・長夢霧靄</color>*1","<color=#CB484B><size=48>함어지력
</size></color>
포함 물품: 
<color=#CB484B>절세・당평</color>*1
<color=#E57E00>전설・모신구인</color>*1
<color=#E57E00>전설・장몽무애</color>*1"
PN_NAME_1,玄武之魂,현무지혼
PN_NAME_2,白虎之魂,백호지혼
PN_NAME_3,青龍之魂,청룡지혼
PN_NAME_4,朱雀之魂,주작지혼
PN_NAME_5,屍變斷指,강시의 손가락
